                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 1.4899,                  1.069,                 1.9351,                0.96536,                0.90493,                0.97819,                0.69365,                  1.065,                0.67056,                 1.6505,              0.0016713,              0.0016713,              0.0016713
                     86,                 1.4497,                0.99846,                 1.8767,                0.97163,                0.88959,                0.96873,                0.66289,                  1.061,                0.69786,                 1.6703,              0.0016674,              0.0016674,              0.0016674
                     87,                 1.4892,                 1.0412,                 1.9208,                0.86693,                0.95455,                0.95183,                0.64157,                 1.1885,                0.76099,                 1.7388,              0.0016634,              0.0016634,              0.0016634
                     88,                 1.5145,                0.99451,                 1.9384,                0.88264,                0.92785,                0.96204,                0.61123,                 1.2717,                0.78926,                 1.8373,              0.0016594,              0.0016594,              0.0016594
                     89,                 1.5145,                 1.0388,                 1.9345,                0.92234,                0.92544,                0.97177,                0.60427,                 1.2699,                0.74483,                 1.8296,              0.0016555,              0.0016555,              0.0016555
                     90,                 1.4175,                 1.0014,                 1.8463,                0.96172,                0.94156,                0.98225,                 0.6633,                 1.1465,                0.66089,                 1.7308,              0.0016515,              0.0016515,              0.0016515
                     91,                 1.4467,                 1.0061,                 1.8246,                0.93596,                0.94908,                0.97772,                0.68939,                 1.1334,                0.71509,                 1.7051,              0.0016476,              0.0016476,              0.0016476
                     92,                 1.4738,                0.99119,                 1.8814,                0.95839,                0.92208,                0.96442,                0.65358,                 1.1353,                0.66748,                 1.6993,              0.0016436,              0.0016436,              0.0016436
                     93,                 1.4725,                 1.0452,                 1.9162,                0.95457,                0.92208,                0.96265,                0.63622,                 1.2037,                0.74185,                 1.7467,              0.0016396,              0.0016396,              0.0016396
                     94,                 1.4323,                 0.9647,                 1.8779,                0.94006,                0.95455,                0.98498,                0.64252,                 1.1623,                0.66133,                 1.7512,              0.0016357,              0.0016357,              0.0016357
                     95,                 1.4881,                0.99456,                 1.9036,                0.96026,                0.92857,                0.98219,                0.64959,                 1.2824,                0.72772,                 1.7725,              0.0016317,              0.0016317,              0.0016317
                     96,                 1.5557,                 1.0101,                 1.9143,                0.91987,                0.96902,                0.97904,                0.65938,                 1.2067,                0.73399,                 1.7742,              0.0016278,              0.0016278,              0.0016278
                     97,                 1.4451,                0.97863,                  1.853,                0.95871,                0.92208,                  0.976,                0.63912,                 1.1791,                0.70765,                  1.742,              0.0016238,              0.0016238,              0.0016238
                     98,                 1.4089,                0.99108,                 1.8447,                0.87274,                0.85714,                0.90217,                0.58535,                 1.3006,                0.88894,                 1.8168,              0.0016198,              0.0016198,              0.0016198
                     99,                 1.4689,                0.97517,                 1.8903,                0.91637,                0.75974,                0.86336,                0.52846,                  1.449,                 1.0525,                 1.9926,              0.0016159,              0.0016159,              0.0016159
                    100,                 1.4174,                 1.0191,                 1.8726,                0.95289,                0.91947,                0.97085,                0.60634,                 1.2855,                0.71664,                 1.8076,              0.0016119,              0.0016119,              0.0016119
                    101,                    1.4,                0.96284,                 1.8657,                0.95377,                0.93778,                0.97917,                0.66872,                 1.0938,                0.64703,                  1.694,               0.001608,               0.001608,               0.001608
                    102,                 1.4646,                0.98369,                 1.8551,                0.95384,                0.93926,                0.96689,                0.52678,                 1.6133,                0.78546,                 2.0969,               0.001604,               0.001604,               0.001604
                    103,                 1.4972,                 1.0574,                  1.901,                 0.9578,                0.92857,                 0.9527,                0.62809,                 1.2399,                0.68574,                 1.7255,                 0.0016,                 0.0016,                 0.0016
                    104,                 1.4645,                 1.0168,                 1.8947,                0.94932,                0.94805,                 0.9718,                0.58086,                 1.4284,                0.72615,                 1.8657,              0.0015961,              0.0015961,              0.0015961
                    105,                 1.4983,                 1.0584,                 1.9538,                0.94997,                0.94156,                0.95831,                0.64934,                 1.1429,                0.69171,                 1.7187,              0.0015921,              0.0015921,              0.0015921
                    106,                  1.426,                0.96493,                 1.8725,                0.96447,                0.94805,                0.97169,                0.66523,                 1.1198,                0.68251,                 1.7105,              0.0015882,              0.0015882,              0.0015882
                    107,                 1.4394,                0.95208,                 1.8672,                0.95114,                0.91558,                0.97211,                 0.6659,                 1.0827,                0.63761,                 1.6483,              0.0015842,              0.0015842,              0.0015842
                    108,                 1.3868,                 0.9424,                 1.8298,                0.96052,                0.94792,                0.98002,                0.66548,                  1.126,                0.63524,                 1.6966,              0.0015802,              0.0015802,              0.0015802
                    109,                 1.4136,                0.97374,                 1.9005,                0.94984,                0.95455,                0.98057,                0.68291,                 1.1087,                0.61421,                 1.6343,              0.0015763,              0.0015763,              0.0015763
                    110,                 1.4912,                 0.9432,                 1.8834,                0.95817,                0.96753,                0.98216,                0.66404,                 1.1735,                0.61637,                 1.7509,              0.0015723,              0.0015723,              0.0015723
                    111,                 1.4332,                0.95724,                  1.888,                0.92438,                0.98052,                0.97031,                0.63126,                 1.3034,                 0.6533,                 1.7754,              0.0015684,              0.0015684,              0.0015684
                    112,                 1.4356,                0.92966,                 1.8698,                0.95991,                0.96104,                0.95759,                0.65603,                 1.1305,                0.63104,                 1.7119,              0.0015644,              0.0015644,              0.0015644
                    113,                 1.3943,                0.91858,                 1.8328,                0.93996,                0.91488,                0.95821,                0.65462,                 1.1383,                0.65543,                 1.7217,              0.0015604,              0.0015604,              0.0015604
                    114,                 1.3705,                0.91336,                 1.8302,                0.95377,                0.94156,                0.95318,                0.64887,                 1.1898,                0.63327,                 1.8008,              0.0015565,              0.0015565,              0.0015565
                    115,                 1.4023,                0.98603,                 1.8435,                0.95216,                0.96104,                0.95348,                0.66879,                 1.0928,                0.63578,                 1.6528,              0.0015525,              0.0015525,              0.0015525
                    116,                 1.3468,                0.92812,                 1.8103,                0.96414,                0.92208,                0.97357,                0.63618,                 1.2212,                0.72963,                  1.778,              0.0015486,              0.0015486,              0.0015486
                    117,                 1.3946,                0.94168,                 1.8019,                0.94218,                0.95227,                0.97336,                0.66776,                 1.0847,                0.68313,                 1.6713,              0.0015446,              0.0015446,              0.0015446
                    118,                 1.3707,                0.94749,                 1.8475,                0.93996,                 0.9026,                0.95668,                0.65102,                 1.1042,                0.69916,                 1.7148,              0.0015406,              0.0015406,              0.0015406
                    119,                 1.3951,                0.87877,                 1.7749,                0.97954,                0.88312,                0.97416,                0.65871,                 1.1123,                0.62426,                 1.7051,              0.0015367,              0.0015367,              0.0015367
                    120,                 1.4022,                 0.8991,                  1.818,                0.94442,                0.96753,                0.98098,                0.67767,                  1.091,                0.59602,                 1.6396,              0.0015327,              0.0015327,              0.0015327
                    121,                 1.3449,                0.86132,                 1.7707,                0.94054,                0.94805,                0.96849,                0.62174,                 1.2769,                 0.6607,                 1.7879,              0.0015288,              0.0015288,              0.0015288
                    122,                 1.3725,                0.93667,                 1.8263,                0.95572,                0.94805,                0.95921,                0.66543,                 1.0779,                0.57713,                 1.6124,              0.0015248,              0.0015248,              0.0015248
                    123,                 1.3693,                0.88199,                  1.792,                0.93381,                0.96753,                 0.9842,                0.66235,                 1.1872,                0.60628,                 1.7153,              0.0015208,              0.0015208,              0.0015208
                    124,                 1.3207,                0.89247,                 1.7798,                0.93066,                0.95877,                0.98344,                0.69562,                 1.0891,                0.58163,                  1.653,              0.0015169,              0.0015169,              0.0015169
                    125,                 1.3533,                0.89226,                 1.8053,                0.92459,                 0.9554,                0.97288,                 0.6625,                 1.1025,                0.60338,                 1.6887,              0.0015129,              0.0015129,              0.0015129
                    126,                  1.337,                0.87236,                 1.7557,                0.91984,                0.96868,                 0.9537,                0.65864,                 1.0323,                0.59022,                 1.6186,               0.001509,               0.001509,               0.001509
                    127,                 1.3649,                 0.9046,                 1.8075,                0.94215,                0.95182,                0.95509,                 0.6398,                 1.1827,                0.61609,                 1.7018,               0.001505,               0.001505,               0.001505
                    128,                 1.3968,                0.97838,                 1.8365,                0.92699,                0.95455,                  0.962,                0.66617,                 1.0645,                0.60454,                 1.6688,               0.001501,               0.001501,               0.001501
                    129,                 1.4139,                 0.9366,                  1.851,                0.94234,                0.98052,                0.97454,                0.58831,                 1.4278,                0.67896,                 1.9944,              0.0014971,              0.0014971,              0.0014971
                    130,                 1.3568,                0.88064,                 1.7902,                0.94111,                0.93398,                0.96926,                0.67235,                 1.0924,                0.59487,                 1.6693,              0.0014931,              0.0014931,              0.0014931
                    131,                 1.3912,                0.91217,                   1.81,                0.95389,                0.94026,                  0.979,                0.70566,                  1.091,                0.55153,                 1.6404,              0.0014892,              0.0014892,              0.0014892
                    132,                 1.3153,                0.92509,                 1.7853,                0.97367,                0.96033,                0.98915,                0.68708,                 1.1463,                0.54537,                 1.6605,              0.0014852,              0.0014852,              0.0014852
                    133,                 1.3492,                0.85584,                 1.7797,                0.95174,                0.97403,                0.98288,                0.69365,                 1.0734,                0.55637,                 1.6377,              0.0014812,              0.0014812,              0.0014812
                    134,                 1.3634,                0.85084,                 1.7916,                0.95612,                0.92857,                0.97924,                0.64798,                  1.265,                0.63656,                 1.7441,              0.0014773,              0.0014773,              0.0014773
                    135,                 1.3582,                0.90891,                 1.7996,                0.91859,                0.94156,                0.95901,                0.64848,                 1.1887,                0.66137,                 1.7409,              0.0014733,              0.0014733,              0.0014733
